,block_id,gadm_code,country_code,block_area,building_area,building_count,building_layers,k_complexity
0,GAB.1.1_1_0,GAB.1.1_1,GAB,2512977.04,0.0,0,0,1
1,GAB.1.1_1_1,GAB.1.1_1,GAB,249320.45,0.0,0,0,1
2,GAB.1.1_1_2,GAB.1.1_1,GAB,141794.22,0.0,0,0,1
3,GAB.1.1_1_3,GAB.1.1_1,GAB,361623.06,0.0,0,0,1
4,GAB.1.1_1_4,GAB.1.1_1,GAB,257764.91,0.0,0,0,1
5,GAB.1.1_1_5,GAB.1.1_1,GAB,489703.93,0.0,0,0,1
6,GAB.1.1_1_6,GAB.1.1_1,GAB,1554138.4,0.0,0,0,1
7,GAB.1.1_1_7,GAB.1.1_1,GAB,3121987.08,0.0,0,0,1
8,GAB.1.1_1_8,GAB.1.1_1,GAB,183680.39,0.0,0,0,1
9,GAB.1.1_1_9,GAB.1.1_1,GAB,237704.76,0.0,4,4,1
10,GAB.1.1_1_10,GAB.1.1_1,GAB,283571.14,0.0,0,0,1
11,GAB.1.1_1_11,GAB.1.1_1,GAB,147535209.55,0.0,872,"353,332,105,65,15,2",6
12,GAB.1.1_1_12,GAB.1.1_1,GAB,75667019.51,0.0,124,"77,43,4",3
13,GAB.1.1_1_13,GAB.1.1_1,GAB,35352147.42,0.0,176,"109,65,2",3
14,GAB.1.1_1_14,GAB.1.1_1,GAB,1043487430.31,0.0,832,"402,331,82,17",4
15,GAB.1.1_1_15,GAB.1.1_1,GAB,15578652.6,0.0,30,"15,14,1",3
16,GAB.1.1_1_16,GAB.1.1_1,GAB,3951676.63,0.0,49,"16,18,11,4",4
17,GAB.1.1_1_17,GAB.1.1_1,GAB,98908738.88,0.0,532,"199,202,98,30,3",5
18,GAB.1.1_1_18,GAB.1.1_1,GAB,1106863.84,0.0,19,"11,8",2
19,GAB.1.1_1_19,GAB.1.1_1,GAB,54797614.33,0.0,483,"205,218,55,5",4
20,GAB.1.1_1_20,GAB.1.1_1,GAB,101729789.19,0.0,577,"292,199,57,26,3",5
21,GAB.1.1_1_21,GAB.1.1_1,GAB,746548927.9,0.0,573,"268,219,73,13",4
22,GAB.1.1_1_22,GAB.1.1_1,GAB,1285698.37,0.0,88,"41,40,7",3
23,GAB.1.1_1_23,GAB.1.1_1,GAB,354726400.29,0.0,263,"46,67,54,35,34,17,9,1",8
24,GAB.1.1_1_24,GAB.1.1_1,GAB,281110228.0,0.0,1103,"384,453,199,54,12,1",6
25,GAB.1.1_1_25,GAB.1.1_1,GAB,3932914.65,0.0,379,"144,155,60,19,1",5
26,GAB.1.1_1_26,GAB.1.1_1,GAB,5882194.05,0.0,326,"103,141,76,6",4
27,GAB.1.1_1_27,GAB.1.1_1,GAB,60952870.65,0.0,8,"3,4,1",3
28,GAB.1.1_1_28,GAB.1.1_1,GAB,954977527.12,0.0,84,"33,39,12",3
29,GAB.1.1_1_29,GAB.1.1_1,GAB,346001.26,0.0,0,0,1
30,GAB.1.1_1_30,GAB.1.1_1,GAB,76096.15,0.0,1,1,1
31,GAB.1.1_1_31,GAB.1.1_1,GAB,47353.86,0.0,4,4,1
32,GAB.1.1_1_32,GAB.1.1_1,GAB,3413026.92,0.0,0,0,1
33,GAB.1.1_1_33,GAB.1.1_1,GAB,87117613.13,0.0,3,"1,2",2
34,GAB.1.1_1_34,GAB.1.1_1,GAB,75572406.57,0.0,890,"323,323,134,69,33,8",6
35,GAB.1.1_1_35,GAB.1.1_1,GAB,170458.14,0.0,0,0,1
36,GAB.1.1_1_36,GAB.1.1_1,GAB,1499456.53,0.0,0,0,1
37,GAB.1.1_1_37,GAB.1.1_1,GAB,601747.58,0.0,84,"38,29,12,5",4
38,GAB.1.1_1_38,GAB.1.1_1,GAB,1785607.98,0.0,158,"65,83,10",3
39,GAB.1.1_1_39,GAB.1.1_1,GAB,3183696.35,0.0,0,0,1
40,GAB.1.1_1_40,GAB.1.1_1,GAB,22138032.41,0.0,0,0,1
41,GAB.1.1_1_41,GAB.1.1_1,GAB,571.2,0.0,0,0,1
42,GAB.1.1_1_42,GAB.1.1_1,GAB,84006728.97,0.0,0,0,1
43,GAB.1.1_1_43,GAB.1.1_1,GAB,124.42,0.0,0,0,1
44,GAB.1.1_1_44,GAB.1.1_1,GAB,146389.71,0.0,0,0,1
45,GAB.1.1_1_45,GAB.1.1_1,GAB,5875.34,0.0,0,0,1
46,GAB.1.1_1_46,GAB.1.1_1,GAB,509.18,0.0,0,0,1
47,GAB.1.1_1_47,GAB.1.1_1,GAB,13566.94,0.0,0,0,1
48,GAB.1.1_1_48,GAB.1.1_1,GAB,1287.98,0.0,0,0,1
49,GAB.1.1_1_49,GAB.1.1_1,GAB,6557.33,0.0,0,0,1
50,GAB.1.1_1_50,GAB.1.1_1,GAB,331.4,0.0,0,0,1
51,GAB.1.1_1_51,GAB.1.1_1,GAB,2.05,0.0,0,0,1
52,GAB.1.1_1_52,GAB.1.1_1,GAB,100.63,0.0,0,0,1
53,GAB.1.1_1_53,GAB.1.1_1,GAB,891.02,0.0,0,0,1
54,GAB.1.1_1_54,GAB.1.1_1,GAB,2754.94,0.0,0,0,1
55,GAB.1.1_1_55,GAB.1.1_1,GAB,18051.08,0.0,0,0,1
56,GAB.1.1_1_56,GAB.1.1_1,GAB,971.39,0.0,0,0,1
57,GAB.1.1_1_57,GAB.1.1_1,GAB,32.0,0.0,0,0,1
58,GAB.1.1_1_58,GAB.1.1_1,GAB,2457.42,0.0,0,0,1
59,GAB.1.1_1_59,GAB.1.1_1,GAB,11199018.6,0.0,0,0,1
60,GAB.1.1_1_60,GAB.1.1_1,GAB,668.25,0.0,0,0,1
61,GAB.1.1_1_61,GAB.1.1_1,GAB,3960.84,0.0,0,0,1
62,GAB.1.1_1_62,GAB.1.1_1,GAB,536.25,0.0,0,0,1
63,GAB.1.1_1_63,GAB.1.1_1,GAB,1137.19,0.0,0,0,1
64,GAB.1.1_1_64,GAB.1.1_1,GAB,402.81,0.0,0,0,1
65,GAB.1.1_1_65,GAB.1.1_1,GAB,1919.16,0.0,0,0,1
66,GAB.1.1_1_66,GAB.1.1_1,GAB,225.29,0.0,0,0,1
67,GAB.1.1_1_67,GAB.1.1_1,GAB,1789.63,0.0,0,0,1
68,GAB.1.1_1_68,GAB.1.1_1,GAB,120.58,0.0,0,0,1
69,GAB.1.1_1_69,GAB.1.1_1,GAB,3046.37,0.0,0,0,1
70,GAB.1.1_1_70,GAB.1.1_1,GAB,236.97,0.0,0,0,1
71,GAB.1.1_1_71,GAB.1.1_1,GAB,568.36,0.0,0,0,1
72,GAB.1.1_1_72,GAB.1.1_1,GAB,2408.74,0.0,0,0,1
73,GAB.1.1_1_73,GAB.1.1_1,GAB,1569.67,0.0,0,0,1
74,GAB.1.1_1_74,GAB.1.1_1,GAB,1063.15,0.0,0,0,1
75,GAB.1.1_1_75,GAB.1.1_1,GAB,1955.16,0.0,0,0,1
76,GAB.1.1_1_76,GAB.1.1_1,GAB,7949.9,0.0,0,0,1
77,GAB.1.1_1_77,GAB.1.1_1,GAB,50.11,0.0,0,0,1
78,GAB.1.1_1_78,GAB.1.1_1,GAB,6776.36,0.0,0,0,1
79,GAB.1.1_1_79,GAB.1.1_1,GAB,181.38,0.0,0,0,1
80,GAB.1.1_1_80,GAB.1.1_1,GAB,21099.14,0.0,0,0,1
81,GAB.1.1_1_81,GAB.1.1_1,GAB,1111.58,0.0,0,0,1
82,GAB.1.1_1_82,GAB.1.1_1,GAB,26995.22,0.0,0,0,1
83,GAB.1.1_1_83,GAB.1.1_1,GAB,1962.54,0.0,0,0,1
84,GAB.1.1_1_84,GAB.1.1_1,GAB,5515.6,0.0,0,0,1
85,GAB.1.1_1_85,GAB.1.1_1,GAB,3618.04,0.0,0,0,1
86,GAB.1.1_1_86,GAB.1.1_1,GAB,4536.79,0.0,0,0,1
87,GAB.1.1_1_87,GAB.1.1_1,GAB,508.81,0.0,0,0,1
88,GAB.1.1_1_88,GAB.1.1_1,GAB,20068.54,0.0,0,0,1
89,GAB.1.1_1_89,GAB.1.1_1,GAB,1292.59,0.0,0,0,1
90,GAB.1.1_1_90,GAB.1.1_1,GAB,715.78,0.0,0,0,1
91,GAB.1.1_1_91,GAB.1.1_1,GAB,61.37,0.0,0,0,1
92,GAB.1.1_1_92,GAB.1.1_1,GAB,462.03,0.0,0,0,1
93,GAB.1.1_1_93,GAB.1.1_1,GAB,827.14,0.0,0,0,1
94,GAB.1.1_1_94,GAB.1.1_1,GAB,23267.1,0.0,0,0,1
95,GAB.1.1_1_95,GAB.1.1_1,GAB,12604.41,0.0,0,0,1
96,GAB.1.1_1_96,GAB.1.1_1,GAB,15390.54,0.0,0,0,1
97,GAB.1.1_1_97,GAB.1.1_1,GAB,381467.22,0.0,0,0,1
98,GAB.1.1_1_98,GAB.1.1_1,GAB,208222809.14,0.0,0,0,1
99,GAB.1.1_1_99,GAB.1.1_1,GAB,576.08,0.0,0,0,1
100,GAB.1.1_1_100,GAB.1.1_1,GAB,1481758.2,0.0,0,0,1
101,GAB.1.1_1_101,GAB.1.1_1,GAB,1253.98,0.0,0,0,1
102,GAB.1.1_1_102,GAB.1.1_1,GAB,982.85,0.0,0,0,1
103,GAB.1.1_1_103,GAB.1.1_1,GAB,582155.91,0.0,0,0,1
104,GAB.1.1_1_104,GAB.1.1_1,GAB,12287.99,0.0,0,0,1
105,GAB.1.1_1_105,GAB.1.1_1,GAB,146684.71,0.0,0,0,1
106,GAB.1.1_1_106,GAB.1.1_1,GAB,15148.93,0.0,0,0,1
107,GAB.1.1_1_107,GAB.1.1_1,GAB,54252.34,0.0,0,0,1
108,GAB.1.1_1_108,GAB.1.1_1,GAB,2244.27,0.0,0,0,1
109,GAB.1.1_1_109,GAB.1.1_1,GAB,241.26,0.0,0,0,1
110,GAB.1.1_1_110,GAB.1.1_1,GAB,373.4,0.0,0,0,1
111,GAB.1.1_1_111,GAB.1.1_1,GAB,1487063.92,0.0,0,0,1
112,GAB.1.1_1_112,GAB.1.1_1,GAB,9515.4,0.0,0,0,1
113,GAB.1.1_1_113,GAB.1.1_1,GAB,58003.43,0.0,0,0,1
114,GAB.1.1_1_114,GAB.1.1_1,GAB,55631.54,0.0,0,0,1
115,GAB.1.1_1_115,GAB.1.1_1,GAB,36552.41,0.0,0,0,1
116,GAB.1.1_1_116,GAB.1.1_1,GAB,54427.12,0.0,0,0,1
117,GAB.1.1_1_117,GAB.1.1_1,GAB,34934.09,0.0,0,0,1
118,GAB.1.1_1_118,GAB.1.1_1,GAB,4372.88,0.0,0,0,1
